"","Country","(ES$Country %in% countries_1985_05)","AQ","CSEQ","CSTORE","REC","WQ","WA","LIVE","CROP","Dev","MEAN","avg_gini","avg_gini2","Data.Quality","HDI","Per.Capita.GDP","Region","Income.Group","Population..millions.","Cropland.Footprint","Grazing.Footprint","Forest.Product.Footprint","Carbon.Footprint","Fish.Footprint","Built.up.land","Total.Ecological.Footprint"
"75","New Zealand",TRUE,0.0148315,465.566,179.7,20.1672,0.0015274,12.2317,29.4692,0.01677144,"Most Developed",0.0015274,36.1689651355743,32.1641284713745,"3B",0.909479,37488.3,"Asia-Pacific","HI",4.46,0.63,0.23,1.08,2.84,0.7,0.13,5.6
"76","Nicaragua",TRUE,0.00573134,-4.42962,209.49,18.0189,0.00552482,41.5379,18.21,1.103351,"Rest of World",0.00552482,50.8856396484375,52.1551655197144,"5",0.625457,1626.85,"Latin America","LM",5.99,0.34,0.12,0.42,0.45,0.03,0.05,1.39
"77","Niger",TRUE,0.000732651,-97.0926,28.6734,13.8813,0.00269347,45.3253,4.38719,3.280988,"Least Developed",0.00269347,43.0709638252258,40.7792288541794,"5",0.342293,410.914,"Africa","LI",17.16,0.67,0.48,0.26,0.1,0.02,0.03,1.56
"78","Nigeria",TRUE,0.00653831,-271.444,108.724,15.2029,0.0137553,147.405,13.614,9.61196,"Rest of World",0.0137553,44.8650520744324,42.2415377349854,"5",0.504699,2612.12,"Africa","LM",168.83,0.53,0.1,0.19,0.21,0.08,0.05,1.16
"79","Norway",TRUE,0.00298342,-118.489,162.271,13.1634,0.00349393,13.2476,2.33394,0.02290886,"Most Developed",0.00349393,24.2438506679535,23.5253830337524,"4",0.942293,100172,"Other Europe","HI",4.99,NA,NA,NA,NA,NA,NA,4.98
"80","Pakistan",TRUE,0.00340114,-114.452,51.2376,13.7735,0.0137033,150.545,24.3397,6.511828,"Rest of World",0.0137033,31.0835819396973,33.0313302154541,"6",0.532065,1218.6,"Asia-Pacific","LM",179.16,0.27,0.01,0.08,0.38,0.02,0.03,0.79
"81","Panama",TRUE,0.0125102,-136.918,255.083,16.2438,0.00781488,43.1598,13.7182,0.4553468,"Rest of World",0.00781488,49.953422454834,49.2333795547485,"3B",0.77245,8410.77,"Latin America","UM",3.8,0.36,0.4,0.19,1.44,0.37,0.02,2.79
"82","Papua New Guinea",TRUE,0.00760021,587.492,339.754,11.0318,0.00464401,13.7745,0.684052,0.0148474,"Rest of World",0.00464401,49.055682964325,40.0481484985352,"3B",0.500658,1871.21,"Asia-Pacific","LM",7.17,0.3,0.05,0.36,0.35,0.73,0.13,1.91
"83","Paraguay",TRUE,0.00427607,43.0438,151.813,13.5631,0.0022665,15.3366,16.2678,1.504543,"Rest of World",0.0022665,49.9488087120056,43.7262034797668,"3B",0.669333,3557.31,"Latin America","LM",6.69,1.11,1.1,0.83,0.97,0.01,0.14,4.16
"84","Peru",TRUE,0.00421213,452.824,233.912,15.6687,0.00255238,21.2417,3.54995,0.0469367,"Rest of World",0.00255238,52.7949374275208,52.0564847259521,"6",0.728052,5684.73,"Latin America","UM",29.99,0.5,0.51,0.19,0.67,0.33,0.07,2.28
"85","Philippines",TRUE,0.012768,84.7253,186.969,15.8165,0.0284946,273.038,12.2013,9.16006,"Rest of World",0.0284946,43.5216901931763,41.1853708534241,"5",0.657463,2379.44,"Asia-Pacific","LM",96.71,0.36,0.03,0.09,0.34,0.23,0.05,1.1
"86","Poland",TRUE,0.0202637,71.2311,155.669,17.0606,0.00512864,112.718,20.6461,5.472292,"Most Developed",0.00512864,29.7622918300629,26.5599825611115,"6",0.837545,13769.5,"EU-27","HI",38.21,0.84,0.04,0.78,2.64,0.05,0.09,4.44
"87","Portugal",TRUE,0.0166172,290.387,135.557,15.8219,0.00663192,87.4482,16.6071,2.62604,"Most Developed",0.00663192,36.0884688663483,31.8555632209778,"5",0.826513,23217.3,"EU-27","HI",10.6,1.03,0.25,0.09,2.15,0.31,0.05,3.88
"88","Romania",TRUE,0.0109615,114.81,119.093,16.9767,0.0271236,77.935,13.7193,11.31888,"Rest of World",0.000866851,29.2676646099091,23.4899600546701,"5",0.787848,9213.94,"EU-27","UM",21.76,0.72,0.05,0.33,1.46,0.03,0.12,2.71
"89","Russian Federation",TRUE,0.00238338,-18.4171,195.408,13.4769,0.000866851,6.86104,0.976527,0.567995,"Rest of World",0.067155,38.4486959457397,30.7429873256683,"6",0.794929,13320.2,"Other Europe","UM",143.17,0.77,0.15,0.67,3.87,0.19,0.03,5.69
"90","Rwanda",TRUE,0.00837092,74.8665,241.032,14.7628,0.067155,462.196,29.4501,17.90536,"Least Developed",0.00462042,46.2851718482971,31.4768767662048,"5",0.47556,628.084,"Africa","LI",11.46,0.43,0.05,0.25,0.07,0.01,0.05,0.87
"91","Senegal",TRUE,0.00294099,-135.222,59.5496,17.2165,0.00462042,54.9148,10.9941,2.4642498,"Least Developed",0.0178294,38.2163565998077,42.2803240623474,"5",0.460561,1079.27,"Africa","LM",13.73,0.34,0.21,0.21,0.3,0.12,0.02,1.21
"92","Sierra Leone",TRUE,0.00861365,-197.35,178.441,13.7656,0.0178294,68.3845,2.97706,1.012928,"Least Developed",0.0254649,46.1934790649414,57.3091586794172,"6",0.39686,499.891,"Africa","LI",5.98,0.47,0.11,0.38,0.07,0.15,0.05,1.24
"93","Slovakia",TRUE,0.0180885,146.928,105.948,17.793,0.0116498,141.401,10.6813,5.501482,"Most Developed",0.00572596,26.202058216095,18.070484430525,"5",0.835893,18103.1,"EU-27","HI",5.45,0.31,0.08,0.72,2.82,0.03,0.09,4.06
